GROUP,IP_COUNTRY,Participant_Sex,Age,LRB1,LRB3,LRB4,LRB5,LRB6,LRB7,LRB8,LRB9,LRB10,LRB11,LRB12,General_Health,INF_PREV_COMM,INF_PREV_FAM,INF_PREV_JOB,Risk1,Risk2,Risk3,Risk4,Risk5,Risk6,Risk7,Risk8,Risk9,Risk10,Risk11,Risk12,Risk13,Risk14,Risk15,Risk16,Risk17,Risk18,Risk19,Risk20,Risk21,Risk22,Risk23,Risk24,Risk25,Risk26,Risk27,Risk28,Risk29,Risk30,Risk31,Risk32,Risk33,Risk34,ATC1,ATC2,ATC3,ATC4,ATC5,ATC6,ATC7,ATC8,ATC9,Imm1,Imm2,Imm3,Imm4,Imm5,Imm6,Imm7,Imm8,Imm9,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,TDDS1,TDDS2,TDDS3,TDDS4,TDDS5,TDDS6,TDDS7,TDDS8,TDDS9,TDDS10,TDDS11,TDDS12,TDDS13,TDDS14,TDDS15,TDDS16,TDDS17,TDDS18,TDDS19,TDDS20,TDDS21,PVD1,PVD2,PVD3,PVD4,PVD5,PVD6,PVD7,PVD8,PVD9,PVD10,PVD11,PVD12,PVD13,PVD14,PVD15
4,1,1,32,1, ,90,0,3,1,16,1,3,1,40,5,8,4,7,4,3,3,4,3,4,4,3,2,3,3,2,3,4,4,2,3,3,4,3,4,2,4,4,3,2,2,3,3,5,5,4,3,2,3,2,2,1,2,3,2,3,1,4,3,4,4,3,2,4,5,4,1,1,0,3,4,8,6,5,2,0,1,6,5,1,6,5,1,2,5,2,2,1,2,5,4,2,3,4,5,3,6,7,1,5,4,1,5,1,2,1,6,4,5,4,3
4,1,1,30,2, , , ,3,1,17,1,2,0,0,4,30,10,10,4,4,4,5,4,4,3,4,5,4,4,5,3,4,5,2,4,3,2,4,3,5,3,4,4,5,3,5,4,4,5,5,2,4,4,2,3,2,3,3,2,1,2,2,4,4,3,3,4,2,5,4,0,0,0,1,1,9,1,2,1,0,5,5,6,3,3,2,6,4,5,5,5,6,5,2,5,6,5,6,5,4,5,5,2,2,4,2,2,2,3,2,1,3,3,6,4
4,1,1,52,1,3,80,20,12,1,19,1,4,0,39,4,30,30,30,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,1,2,1,2,3,3,3,3,3,3,3,3,4,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,2,6,5,5,4,2,2,5,4,4,6,0,3,2,2,2,2,2,3,6,3,3,2,2,3,5,2,1,5,2,5,3,3,1,2,2,3,2,2,2,3,3,5
4,1,1,33,1,2,90,10,12,1,22,1,0,0,0,4,90,91,91,5,5,5,5,5,5,5,4,5,5,5,4,3,3,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,4,3,1,3,2,2,1,2,3,3,4,2,2,2,2,4,4,2,2,1,0,0,8,1,8,1,1,1,0,0,3,0,5,0,0,1,1,1,0,0,0,0,5,0,0,1,1,1,0,7,5,6,2,3,2,4,3,4,4,3,4,3,4,3
4,1,1,40,1,7,100,0,1,1,19,1,1,1,17,5,9,2,2,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,4,4,3,1,1,1,1,1,5,5,5,5,3,3,3,3,3,3,3,4,4,2,3,3,4,4,4,4,1,1,4,1,1,1,1,1,1,1,1,0,1, ,9,1,1,9,0,0,6,0,0,6,2,0,6,0,0,6,6,6,6,0,6,6,6,0,6,7,6,5,5,6,1,1,1,7,1,1,1,6,6,4
4,1,1,36,2, , , ,4,1,19,1,25,1,0,3,51,51,53,2,3,3,3,5,4,5,3,3,3,3,3,4,5,3,4,3,3,4,5,2,3,5,1,5,1,5,3,2,4,5,5,5,5,3,3,3,2,2,4,1,3,2,2,2,4,2,1,5,3,2,2,1,8,8,5,1,7,2,7,2,3,5,5,6,0,0,3,4,2,5,0,4,4,0,6,5,6,2,6,0,2,5,1,7,7,1,1,4,1,1,2,7,4,4,5,1
4,1,1,33,1,3,100,0,8,1,16,3,4,1,20,2,48,1,5,5,5,3,3,4,3,3,3,4,4,3,3,2,4,3,4,4,4,5,5,5,4,5,5,4,4,4,5,5,4,4,5,2,2,2,2,2,3,2,3,4,3,2,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,0,1,6,6,0,2,3,0,3,0,6,6,6,5,5,6,6,6,5,0,5,7,7,2,3,1,3,6,7,3,6,1,1,1,2,4
4,1,1,25,1,3,80,0,2,1,16,3,1,1,10,3,8,0,0,5,5,5,5,5,5,5,3,5,5,5,4,3,5,5,3,4,2,5,5,5,5,5,5,5,5,5,5,2,5,5,5,1,1,1,2,2,2,1,4,1,4,1,2,1,1,1,1,1,1,1,1,1,0,0,9,2,7,7,1,1,0,0,6,0,1,3,0,0,3,0,5,6,0,0,5,0,6,6,0,0,0,1,4,5,1,1,5,1,1,1,5,1,3,3,3,1
4,1,1,23,1,1,90,0,3,1,15,1,1,0,0,3,51,30,52,4,3,4,4,4,3,4,3,3,3,4,4,4,3,4,3,2,2,4,4,3,3,4,4,3,3,3,3,4,4,3,4,2,2,2,3,2,3,3,2,2,3,2,5,4,3,3,4,4,4,5,4,1,1,1,2,2,2,1,1,1,3,0,1,1,2,2,1,1,2,2,3,3,2,2,1,3,2,2,3,3,2,6,5,4,6,5,5,5,4,5,5,4,4,6,6,5
4,1,1,28,2, , , ,2,1,22,1,1,0,0,2,50,20,12,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,2,2,2,1,3,2,2,2,5,3,4,3,5,3,3,3,2,0,0,1,3,2,7,4,5,5,5,6,6,6,3,5,3,2,5,6,4,6,6,3,6,5,6,5,5,4,5,7,5,1,3,1,1,7,4,3,2,2,1,2,3,4
4,1,1,30,1,3,90,0,1,1,26,1,2,1,15,4,0,0,0,4,5,5,5,5,5,4,2,5,5,5,3,2,3,5,3,4,3,3,4,4,5,5,5,4,5,5,5,3,5,5,5,1,1,1,1,1,1,1,4,1,1,2,1,1,1,4,4,5,1,5,1,1,1,1,5,1,6,1,1,1,6,3,6,6,3,0,6,3,3,6,5,6,6,3,4,6,6,3,6,6,3,7,5,2,2,4,1,2,1,1,1,2,6,5,5,1
4,1,1,25,2, , , ,4,1,14,1,8,1,2,4,5,0,0,2,4,4,4,4,4, , , , , , ,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,2,3,4,3,2,2,3,4,3,2,2,1,2,2,2,2,2,2,3,3,2,6,5,1,8,6,6,0,0,0,0,0,0,0,5,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1
4,1,1,29,2, , , ,3,1,25,3,2,0,0,3,50,0,0,5,5,3,4,4,3,4,1,5,5,4,4,4,3,5,4,3,3,4,5,2,5,5,3,3,3,5,2,2,4,5,5,2,3,2,1,2,2,1,1,2,2,3,3,3,3,1,4,3,3,3,5,0,0,0,7,5,1,7,8,7,6,0,6,6,0,1,6,0,4,5,0,0,6,1,4,6,6,6,6,4,6,7,5,3,7,1,3,2,6,2,3,1,2,2,3,2
4,1,1,25,1,3,60,50,3,1,18,3,4,1,27,4,20,10,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,2,2,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,4,2,4,2,2,6,6,3,5,5,5,4,4,5,6,3,4,2,5,5,4,5,6,2,4,5,3,6,4,3,2,6,5,1,1,6,6,1,5,3,7,3,1,5,1,3,7
4,1,1,18,1,2,80,60,18,1,15,3,2,0,15,3,20,0,60,3,5,2,3,2,3,3,2,3,3,3,2,1,2,4,1,1,1,1,2,1,1,1,3,3,4,3,3,2,3,4,1,1,2,1,3,2,4,1,4,1,4,3,2,3,3,1,3,4,3,4,3,1,2,2,1,1,3,2,1,2,0,2,6,6,0,3,2,0,6,6,3,4,2,0,4,5,6,2,2,0,0,5,7,7,5,1,6,5,7,6,7,1,1,4,5,6
4,1,1,30,1,5,100,0,6,1,16,2,13,2,6,4,2,0,0,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,3,2,2,3,2,3,4,3,4,3,1,1,1,1,2,1,2,0,2,6,1,1,1,1,1,6,6,4,6,0,0,3,2,5,6,3,6,6,3,6,6,6,6,6,6,6,7,1,4,6,3,1,3,3,3,1,4,4,5,3,4
4,1,1,24,1,1,90,0,2,1,14,1,4,1,4,1,20,0,5,5,5,5,4,5,5,5,4,5,5,5,5,5,2,5,3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,5,2,5,1,4,2,4,1,4,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,4,1,9,2,2,2,0,6,4,5,3,1,6,3,6,5,6,5,3,6,6,1,6,2,4,1,1,7,6,1,5,1,6,3,7,2,6,1,1,1,1,5
4,1,1,33,2, , , ,3,1,18,1,5,1,0,3,50,50,50,4,4,4,5,5,3,3,3,5,5,3,3,4,4,5,3,3,3,4,5,3,5,2,5,5,5,4,4,5,5,5,5,1,3,1,2,2,2,1,4,1,2,2,3,3,2,2,4,4,3,4,2,0,2,0,3,1,3,7,2,3,4,3,4,6,0,5,4,1,4,6,3,6,6,4,6,4,6,1,5,1,5,7,5,1,7,4,4,7,4,7,4,1,4,2,3,7
4,1,1,24,2, , , ,3,1,15,1,1,0,0,3,20,5,10,5,4,5,4,5,2,4,2,5,5,5,4,3,4,5,3,5,2,5,5,4,3,3,4,2,4,5,1,5,3,4,2,1,2,3,2,3,2,1,4,2,3,3,1,1,1,1,1,5,1,4,1,0,0,1,9,9,1,7,5,6,2,3,5,5,1,1,1,2,4,3,2,4,5,1,4,6,6,4,4,5,5,7,3,5,6,4,2,5,2,6,2,5,3,2,5,4
4,1,1,25,2, , , ,0,2, ,1,0,0,0,4,91,100,100,2,5,4,3,3,4,2,1,4,4,4,4,2,4,5,4,5,4,3,5,5,5,5,3,3,5,5,2,5,3,5,5,1,1,1,2,2,2,1,3,4,3,2,2,2,2,1,1,3,1,2,1,0,0,0,1,1,9,7,2,1,6,3,6,6,3,5,6,5,3,6,4,0,6,0,4,6,6,5,6,0,4,7,1,1,7,4,4,2,3,1,2,7,4,3,4,5
4,1,1,26,1,4,100,0,6,1,16,2,6,1,15,3,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,3,2,5,5,1,5,1,5,5,5,5,5,2,5,5,5,3,5,1,2,1,4,3,4,1,4,3,3,2,5,1,1,5,5,5,1,1,0,2,5,1,1,1,1,1,0,6,3,6,0,3,3,0,6,6,0,3,3,3,3,6,6,3,3,0,3,7,7,7,7,4,1,7,4,7,1,1,1,7,1,7
4,1,1,30,1,1,90,10,12,1,15,1,2,0,6,3,20,3,10,4,4,4,2,4,4,3,3,4,3,3,2,3,4,2,3,3,2,3,4,4,3,3,2,4,3,3,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,3,2,2,4,2,4,2,2,2,2,2,1,1,2,8,2,2,3,3,0,0,5,6,0,6,3,0,4,6,0,5,0,1,6,6,0,3,3,6,6,3,4,5,3,3,3,4,5,4,2,2,3,4,3,3
4,1,1,30,1,4,80,10,4,1,20,1,1,1,12,4,19,0,0,3,3,3,4,4,2,2,3,4,4,3,3,4,3,3,4,4,3,3,4,3,3,3,3,4,4,3,3,4,4,4,3,3,4,2,3,4,4,3,2,3,3,4,1,1,1,2,2,3,3,3,3,0,0,0,9,8,8,6,1,1,4,6,6,3,5,3,3,6,3,3,4,4,5,2, , , , , , , ,5,4,5,3,5,4,5,3,3,4,4,5,4,5,4
4,1,1,31,1,3,100,0,3,1,20,1,10,1,12,3,8,0, ,5,5,5,5,5,5,5,1,5,5,5,4,2,1,5,5,5,3,4,5,2,4,4,5,5,5,5,5,4,4,4,5,5,5,1,1,2,2,1,4,1,2,2,1,2,1,2,1,2,2,2,1,1,1,4,9,7,1,9,3,1,5,2,6,6,0,4,5,0,3,6,3,3,5,0,5,5,6,6,4,2,5,7,2,7,2,5,1,5,2,3,1,1,3,3,3,1
